"Year","Count","spCov_107","spCov_119","spCov_133","spCov_13","spCov_33","spCov_3","spCov_45","spCov_57","spCov_83","present","spCov_107_scale","spCov_119_scale","spCov_133_scale","spCov_13_scale","spCov_33_scale","spCov_3_scale","spCov_45_scale","spCov_57_scale","spCov_83_scale"
1994,25,-0.864828999754461,-2.16402406226737,-5.08974563049104,-0.0888416424685247,1.11500206616253,0.121288500520235,1.51966666499643,1.7096621991614,3.233321610813,1,-0.00791448906062609,-0.0199343216195139,-0.0472416870390902,-0.00104965571326259,0.0107089746111863,0.00351922795084807,0.0140876939057537,0.0156139063517765,0.0293155376873811
1994,5,-3.62357139049503,-3.57020261868327,-2.98571487571761,0.0917703100055109,0.230502795325898,-0.192476090944332,0.176129930468851,0.0257340689060152,-0.814215387322192,1,-0.0331611406863241,-0.0328876043887862,-0.0277126241636951,0.00108425764684946,0.00221385112894732,-0.005584760601507,0.00163276895206008,0.000235022650758596,-0.0073822417766501
1994,9,-8.81540155273852,-9.97046554093148,-10.0923316375841,0.124417159885168,0.636820156060847,-0.447125563821309,0.936607768443914,0.569303884610336,-7.92350409481215,1,-0.0806742132536998,-0.091844850644111,-0.0936743812620477,0.00146997713091177,0.0061163033595251,-0.0129735034647917,0.00868259063353206,0.00519930635675777,-0.0718399871298847
1994,4,0.410042672979027,0.470355076439884,-0.221820223111668,0.462576954425588,0.29928042848276,0.0250330150321621,0.267425928761702,0.438726230758545,0.582020699932059,1,0.00375250858910117,0.00433276576384263,-0.00205887726420065,0.0054653035394798,0.00287442203697195,0.000726341621978312,0.00247910592081429,0.00400677413613746,0.00527700359488952
1994,4,0.660720993801449,-0.390643017205979,-0.617182298259967,0.419919500936525,3.4170593889489,1.34073589531186,2.27475407865871,1.964981373974,0.716288494514986,1,0.00604659311731249,-0.00359848288158229,-0.00572852458594299,0.00496130970816481,0.0328189546474217,0.0389019174715547,0.0210875449920355,0.01794567088824,0.00649436860402873
1994,3,-1.75668377176584,-4.79183218296108,-7.95508631627866,0.383969217742236,0.682711891853461,0.212919597997255,0.692543182142593,-0.0623282536448942,-0.314313385351811,1,-0.0160763046782283,-0.0441408788134269,-0.0738370294718105,0.00453656046783348,0.00655706795394221,0.00617793605610834,0.00642005025922208,-0.000569227953895513,-0.00284978328883667
1994,3,-21.0117230603884,-22.1485392745167,-22.6323841476148,-1.4025984868414,-11.2776673573217,0.351025548577089,-12.9974134333584,-8.22052414869481,-14.7152255540188,1,-0.19228894076582,-0.204025506462276,-0.210067867133654,-0.0165715702031076,-0.108315721618903,0.0101851281590226,-0.120489306130904,-0.0750759385586206,-0.133418447414726
1994,10,-1.96438884507879,-1.40364407120473,-1.17308598100469,0.457777832241186,-1.29669419764061,-0.275601603906174,-1.35631441545811,-1.09596840178441,-2.54566723887427,1,-0.0179771192103943,-0.0129299358739117,-0.0108882770982842,0.00540860235882245,-0.0124540264654377,-0.00799667621913879,-0.0125733772840111,-0.010009198307339,-0.0230807859110512
1994,12,-9.67596655571514,-10.5553279502667,-13.4556366383802,1.83616003455611,-2.5824049846991,0.0942663866866952,-3.4121975650327,-18.1009661175895,-12.6554331910843,1,-0.0885496803159165,-0.0972324226097552,-0.124891698157565,0.0216940594206043,-0.0248025633818982,0.00273517193658375,-0.0316319334689438,-0.165311480814953,-0.114742940331902
1994,0,-44.5515293719091,-44.6471030943108,-48.518866539473,-50.5989346654683,-36.5739155781468,-16.6794544196152,-46.3997732321181,-42.6201401921212,-48.826357944458,0,-0.407713654315762,-0.411275330981797,-0.450339422626124,-0.597821690154208,-0.351272114415035,-0.483960160663486,-0.430137620076045,-0.389238808687342,-0.442693647199051
